ImpactID,MealID,ConditionType,Notes,Score
1122,56,High Cholesterol,"Bacon, egg, and cheese add cholesterol and saturated fat.",4/10
1123,56,High Blood Pressure,Bacon and cheese add sodium.,4/10
1124,56,Gout,Bacon and egg are moderate in purines; not ideal.,6/10
1125,56,Fatty Liver,"Moderate calories, little fat; figs are beneficial.",8/10
1126,56,High Cholesterol,"No cholesterol, low saturated fat.",10/10
1127,56,High Blood Pressure,Moderate sodium for snack.,8/10
1128,56,Gout,"Low purine, safe.",10/10
1129,56,Fatty Liver,Lean protein and vegetables; moderate fat from cheese and dressing.,7/10
1130,56,High Cholesterol,Cheese and chicken add cholesterol and saturated fat.,7/10
1131,56,High Blood Pressure,Moderate sodium from cheese and dressing.,7/10
1132,56,Gout,Chicken is moderate in purines; otherwise safe.,7/10
1133,56,Fatty Liver,Rice and oil add calories; tofu and veggies are healthy.,7/10
1134,56,High Cholesterol,"Egg adds cholesterol, but tofu is heart healthy.",7/10
1135,56,High Blood Pressure,Soy sauce significantly increases sodium.,4/10
1136,56,Gout,Egg and tofu are moderate in purines.,7/10
1137,57,Fatty Liver,Lots of vegetables and moderate fat; cheese adds saturated fat.,8/10
1138,57,High Cholesterol,Cheese and eggs add cholesterol and saturated fat.,6/10
1139,57,High Blood Pressure,"Moderate sodium, mostly from cheese.",8/10
1140,57,Gout,Eggs and cheese are moderate in purines.,7/10
1141,57,Fatty Liver,Cookies are high in sugar and fat; sandwich is moderate.,6/10
1142,57,High Cholesterol,Low cholesterol except for cheese.,8/10
1143,57,High Blood Pressure,Moderate sodium.,8/10
1144,57,Gout,"Low purine, cheese only moderate.",9/10
1145,57,Fatty Liver,Cauliflower crust and vegetables are beneficial; moderate cheese.,8/10
1146,57,High Cholesterol,Cheese adds cholesterol and saturated fat.,6/10
1147,57,High Blood Pressure,Olives and cheese increase sodium.,6/10
1148,57,Gout,Cheese is moderate in purines.,8/10
1149,57,Fatty Liver,High sugar and fat; small portion.,5/10
1150,57,High Cholesterol,Contains butter and cream; occasional is fine.,6/10
1151,57,High Blood Pressure,Low sodium.,9/10
1152,57,Gout,"Low purine, safe.",10/10
1153,57,Fatty Liver,"High in sugar and fat, though portion is small.",5/10
1154,57,High Cholesterol,Contains eggs and cream; occasional is okay.,6/10
1155,57,High Blood Pressure,Low sodium.,9/10
1156,57,Gout,"Low purine, safe.",10/10
1157,58,Fatty Liver,Bagel is high in carbs; cream cheese adds fat.,6/10
1158,58,High Cholesterol,Cream cheese adds cholesterol and saturated fat.,6/10
1159,58,High Blood Pressure,Bagel has moderate sodium.,7/10
1160,58,Gout,Cream cheese is moderate in purines.,8/10
1161,58,Fatty Liver,Salmon and vegetables are excellent; dressing adds fat.,8/10
1162,58,High Cholesterol,Salmon is heart healthy; dressing and cheese add fat.,7/10
1163,58,High Blood Pressure,Caesar dressing and cheese add sodium.,6/10
1164,58,Gout,Salmon is high in purines; limit for gout.,4/10
1165,58,Fatty Liver,Lots of vegetables; pork rinds and oil add fat.,6/10
1166,58,High Cholesterol,Pork rinds and egg add cholesterol.,5/10
1167,58,High Blood Pressure,Soy sauce and fish sauce add high sodium.,3/10
1168,58,Gout,Pork rinds and egg are moderate in purines.,6/10
1169,59,Fatty Liver,Low fat dairy and berries are positive; Boursin adds some fat.,8/10
1170,59,High Cholesterol,Low cholesterol; mostly healthy.,9/10
1171,59,High Blood Pressure,Moderate sodium from cheese and crostini.,8/10
1172,59,Gout,"Low purine, safe.",10/10
1173,59,Fatty Liver,Lean proteins with cheese and dressing add fat.,6/10
1174,59,High Cholesterol,Cheese and processed meats add cholesterol and fat.,5/10
1175,59,High Blood Pressure,High sodium from processed meat and cheese.,3/10
1176,59,Gout,Ham and turkey are moderate in purines.,7/10
1177,59,Fatty Liver,High fiber and plant protein.,9/10
1178,59,High Cholesterol,Mostly plant-based; minimal cholesterol.,10/10
1179,59,High Blood Pressure,"Moderate sodium, mostly from aioli.",8/10
1180,59,Gout,Black beans are moderate in purines.,8/10
1181,59,Fatty Liver,High in sugar and fat; portion is moderate.,4/10
1182,59,High Cholesterol,Contains saturated fat and cholesterol.,5/10
1183,59,High Blood Pressure,Low sodium.,9/10
1184,59,Gout,"Low purine, safe.",10/10
1185,60,Fatty Liver,"Contains vegetables and lean protein, but ham, cheese, and pastry add fat.",6/10
1186,60,High Cholesterol,"Eggs, cheese, ham, and pastry add cholesterol and saturated fat.",5/10
1187,60,High Blood Pressure,Ham and cheese add sodium.,4/10
1188,60,Gout,Ham and eggs are moderate in purines.,6/10
1189,60,Fatty Liver,"Plant-based, high fiber, healthy fats.",10/10
1190,60,High Cholesterol,"No cholesterol, beneficial for heart health.",10/10
1191,60,High Blood Pressure,"Low sodium, potassium rich.",10/10
1192,60,Gout,"Low purine, plant-based, safe.",10/10
1193,60,Fatty Liver,Lean protein and beans are good; chips and olives add fat and salt.,7/10
1194,60,High Cholesterol,"Lean chicken, low saturated fat.",8/10
1195,60,High Blood Pressure,Chips and olives add sodium.,5/10
1196,60,Gout,Chicken and beans are moderate in purines.,7/10
1197,60,Fatty Liver,"Small serving, healthy fats.",10/10
1198,60,High Cholesterol,"No cholesterol, plant-based fat.",10/10
1199,60,High Blood Pressure,Very low sodium.,10/10
1200,60,Gout,"Low purine, safe.",10/10
1201,61,Fatty Liver,High sugar and refined carbs; nuts and banana add nutrients.,6/10
1202,61,High Cholesterol,Contains some saturated fat and cholesterol.,7/10
1203,61,High Blood Pressure,Moderate sodium.,8/10
1204,61,Gout,"Low purine, safe.",10/10
1205,61,Fatty Liver,High fiber and plant-based protein; bun adds refined carbs.,8/10
1206,61,High Cholesterol,"Low cholesterol, plant-based.",10/10
1207,61,High Blood Pressure,Moderate sodium from bun and patty.,7/10
1208,61,Gout,Beans are moderate in purines.,8/10
1209,61,Fatty Liver,"Mostly whole foods, moderate calories.",8/10
1210,61,High Cholesterol,"No cholesterol, healthy oils.",10/10
1211,61,High Blood Pressure,Moderate sodium.,8/10
1212,61,Gout,"Low purine, safe.",10/10
1213,61,Fatty Liver,Lean protein and many vegetables; cheese and egg add fat.,8/10
1214,61,High Cholesterol,"Cheese, egg, and dressing add cholesterol and fat.",6/10
1215,61,High Blood Pressure,Cheese and dressing add sodium.,7/10
1216,61,Gout,Chicken and eggs are moderate in purines.,7/10
1217,61,Fatty Liver,Very healthy fat; high in fiber.,10/10
1218,61,High Cholesterol,No cholesterol; heart healthy.,10/10
1219,61,High Blood Pressure,"Extremely low sodium, potassium-rich.",10/10
1220,61,Gout,"Low purine, safe.",10/10
1221,62,Fatty Liver,Bagel is high in carbs; eggs add protein but also some fat.,6/10
1222,62,High Cholesterol,Eggs add cholesterol and saturated fat.,5/10
1223,62,High Blood Pressure,Moderate sodium.,7/10
1224,62,Gout,Eggs are moderate in purines.,7/10
1225,62,Fatty Liver,Lean protein and vegetables; cheese and aioli add fat.,7/10
1226,62,High Cholesterol,Cheese and aioli add cholesterol and saturated fat.,6/10
1227,62,High Blood Pressure,Cheese and pesto may add sodium.,6/10
1228,62,Gout,Chicken and cheese are moderate in purines.,7/10
1229,62,Fatty Liver,Avocado and veggies are beneficial; crackers add carbs and sodium.,8/10
1230,62,High Cholesterol,No cholesterol; healthy plant fat.,10/10
1231,62,High Blood Pressure,Crackers add sodium.,7/10
1232,62,Gout,"Low purine, safe.",10/10
1233,63,Fatty Liver,High in fiber and antioxidants; nut butter adds healthy fat.,9/10
1234,63,High Cholesterol,No cholesterol; heart healthy.,10/10
1235,63,High Blood Pressure,Low sodium.,10/10
1236,63,Gout,"Low purine, safe.",10/10
1237,63,Fatty Liver,Protein and vegetables are good; breaded chicken and dressing add saturated fat.,7/10
1238,63,High Cholesterol,"Chicken, breading, and ranch add cholesterol and saturated fat.",6/10
1239,63,High Blood Pressure,Ranch dressing and breaded chicken add sodium.,5/10
1240,63,Gout,Chicken and almonds are moderate in purines.,7/10
1241,63,Fatty Liver,"High sugar, low fat; occasional ok.",7/10
1242,63,High Cholesterol,No cholesterol; minimal fat.,10/10
1243,63,High Blood Pressure,Low sodium.,9/10
1244,63,Gout,"Low purine, safe.",10/10
1245,63,Fatty Liver,Olive oil and vegetables are healthy; dressing and cheese add saturated fat.,7/10
1246,63,High Cholesterol,Cheese and dressing add cholesterol; pasta is plant-based.,7/10
1247,63,High Blood Pressure,Dressing and cheese add sodium.,7/10
1248,63,Gout,Cheese is moderate in purines; otherwise safe.,8/10
1249,64,Fatty Liver,"High in saturated fat, low fiber.",5/10
1250,64,High Cholesterol,Cheese and butter add cholesterol and saturated fat.,5/10
1251,64,High Blood Pressure,Moderate sodium content.,7/10
1252,64,Gout,Cheese is moderate in purines.,8/10
1253,64,Fatty Liver,Eggs and mayo add fat; veggies are beneficial.,6/10
1254,64,High Cholesterol,Eggs and mayo add cholesterol and saturated fat.,5/10
1255,64,High Blood Pressure,Bread and mayo add sodium.,6/10
1256,64,Gout,Eggs are moderate in purines.,7/10
1257,64,Fatty Liver,High sugar from fruit and turbinado; fiber is beneficial.,7/10
1258,64,High Cholesterol,No cholesterol; heart healthy.,10/10
1259,64,High Blood Pressure,Very low sodium.,10/10
1260,64,Gout,"Low purine, safe.",10/10
1261,64,Fatty Liver,"Moderate fat, some fiber.",8/10
1262,64,High Cholesterol,"No cholesterol, plant-based fat.",10/10
1263,64,High Blood Pressure,Moderate sodium.,7/10
1264,64,Gout,"Low purine, safe.",10/10
1265,64,Fatty Liver,Soup is balanced; snacks add sugar and fat.,6/10
1266,64,High Cholesterol,Chicken and butter add cholesterol.,6/10
1267,64,High Blood Pressure,Soup and snacks add sodium.,5/10
1268,64,Gout,Chicken is moderate in purines.,7/10
1269,65,Fatty Liver,"High fiber, healthy fats, and antioxidants.",9/10
1270,65,High Cholesterol,"No cholesterol, heart healthy fats.",10/10
1271,65,High Blood Pressure,Very low sodium.,10/10
1272,65,Gout,"Low purine, safe.",10/10
1273,65,Fatty Liver,"Small portion, plant fats.",9/10
1274,65,High Cholesterol,"No cholesterol, plant fat.",10/10
1275,65,High Blood Pressure,Moderate sodium.,8/10
1276,65,Gout,"Low purine, safe.",10/10
1277,65,Fatty Liver,"Lean protein, lots of veggies.",9/10
1278,65,High Cholesterol,"Tuna is lean, bagel is plant-based.",9/10
1279,65,High Blood Pressure,Bagel adds sodium.,7/10
1280,65,Gout,Tuna is high in purines; limit frequency.,4/10
1281,65,Fatty Liver,"Lots of veggies, but fried rice adds fat and sodium.",7/10
1282,65,High Cholesterol,"Egg adds cholesterol, but overall moderate.",7/10
1283,65,High Blood Pressure,Soy sauce increases sodium.,5/10
1284,65,Gout,Egg is moderate in purines.,7/10
1285,65,Fatty Liver,Strawberries are healthy; sesame sticks add fat and sugar.,8/10
1286,65,High Cholesterol,"No cholesterol, mostly plant fat.",10/10
1287,65,High Blood Pressure,Low sodium.,9/10
1288,65,Gout,"Low purine, safe.",10/10
1289,66,Fatty Liver,Bagel is high in carbs; egg adds protein.,7/10
1290,66,High Cholesterol,Egg adds cholesterol and saturated fat.,6/10
1291,66,High Blood Pressure,Moderate sodium.,7/10
1292,66,Gout,Egg is moderate in purines.,7/10
1293,66,Fatty Liver,"Lean protein, veggies, moderate fat.",8/10
1294,66,High Cholesterol,"Turkey is lean, dressing adds some fat.",8/10
1295,66,High Blood Pressure,Dressing and bread add sodium.,7/10
1296,66,Gout,Turkey is moderate in purines.,7/10
1297,66,Fatty Liver,"Low fat, high antioxidants.",10/10
1298,66,High Cholesterol,"No cholesterol, heart healthy.",10/10
1299,66,High Blood Pressure,Very low sodium.,10/10
1300,66,Gout,"Low purine, safe.",10/10
1301,66,Fatty Liver,"Lean protein, moderate carbs and sodium.",8/10
1302,66,High Cholesterol,"Turkey is lean, bread is plant-based.",9/10
1303,66,High Blood Pressure,Pickles add sodium.,6/10
1304,66,Gout,Turkey is moderate in purines.,7/10
1305,66,Fatty Liver,"High sugar, moderate fat; occasional is ok.",5/10
1306,66,High Cholesterol,"Some saturated fat, low cholesterol.",8/10
1307,66,High Blood Pressure,Low sodium.,9/10
1308,66,Gout,"Low purine, safe.",10/10
1309,67,Fatty Liver,"Protein and carbs, but ham and cheese add saturated fat.",6/10
1310,67,High Cholesterol,"Ham, eggs and cheese add cholesterol and saturated fat.",5/10
1311,67,High Blood Pressure,Ham and biscuit add sodium.,5/10
1312,67,Gout,Ham and eggs are moderate in purines.,6/10
1313,67,Fatty Liver,"Lean protein, bread adds carbs.",7/10
1314,67,High Cholesterol,"Tuna is lean, mayo adds fat.",8/10
1315,67,High Blood Pressure,Bread and mayo add sodium.,6/10
1316,67,Gout,Tuna is high in purines; limit for gout.,4/10
1317,67,Fatty Liver,High sugar and fat; keep portion small.,5/10
1318,67,High Cholesterol,Some cholesterol and saturated fat.,7/10
1319,67,High Blood Pressure,Low sodium.,9/10
1320,67,Gout,"Low purine, safe.",10/10
1321,67,Fatty Liver,"High carb, healthy fat.",8/10
1322,67,High Cholesterol,No cholesterol; olive oil is beneficial.,10/10
1323,67,High Blood Pressure,Very low sodium.,10/10
1324,67,Gout,"Low purine, safe.",10/10
1325,67,Fatty Liver,"High sugar, moderate fat; occasional is fine.",5/10
1326,67,High Cholesterol,"Some saturated fat, low cholesterol.",8/10
1327,67,High Blood Pressure,Low sodium.,9/10
1328,67,Gout,"Low purine, safe.",10/10
1329,68,Fatty Liver,"Good fiber, low fat; cranberries and cantaloupe are beneficial.",9/10
1330,68,High Cholesterol,Low cholesterol and saturated fat.,10/10
1331,68,High Blood Pressure,Low sodium.,10/10
1332,68,Gout,"Low purine, safe.",10/10
1333,68,Fatty Liver,"Cheese adds fat, mushrooms are beneficial.",7/10
1334,68,High Cholesterol,Cheese adds cholesterol and saturated fat.,6/10
1335,68,High Blood Pressure,Moderate sodium.,7/10
1336,68,Gout,Cheese is moderate in purines.,8/10
1337,68,Fatty Liver,"Salmon is healthy, rice adds carbs.",8/10
1338,68,High Cholesterol,Healthy fats from salmon.,9/10
1339,68,High Blood Pressure,Moderate sodium.,8/10
1340,68,Gout,Salmon is high in purines; limit frequency.,4/10
1341,68,Fatty Liver,"Peanuts provide healthy fat, Nutella adds sugar.",8/10
1342,68,High Cholesterol,No cholesterol; mostly plant-based.,10/10
1343,68,High Blood Pressure,Very low sodium.,10/10
1344,68,Gout,Peanuts are moderate in purines.,8/10
1345,69,Fatty Liver,"Balanced, cheese adds saturated fat.",7/10
1346,69,High Cholesterol,Eggs and cheese add cholesterol and saturated fat.,6/10
1347,69,High Blood Pressure,Moderate sodium.,7/10
1348,69,Gout,Eggs and cheese are moderate in purines.,7/10
1349,69,Fatty Liver,"Good fiber and protein, breading adds fat.",8/10
1350,69,High Cholesterol,Chicken and eggs add cholesterol and saturated fat.,7/10
1351,69,High Blood Pressure,Breaded chicken adds sodium.,7/10
1352,69,Gout,Chicken and chickpeas are moderate in purines.,7/10
1353,69,Fatty Liver,"Healthy fats and fiber, vegetables beneficial.",9/10
1354,69,High Cholesterol,"No cholesterol, heart healthy.",10/10
1355,69,High Blood Pressure,Moderate sodium.,8/10
1356,69,Gout,Peanuts and chickpeas are moderate in purines.,8/10
1357,69,Fatty Liver,"High carbs, moderate fat.",7/10
1358,69,High Cholesterol,Cheese and butter add cholesterol.,7/10
1359,69,High Blood Pressure,Moderate sodium.,8/10
1360,69,Gout,Cheese is moderate in purines.,8/10
1361,69,Fatty Liver,"Plant-based, good fiber.",9/10
1362,69,High Cholesterol,"No cholesterol, healthy fat.",10/10
1363,69,High Blood Pressure,Moderate sodium.,8/10
1364,69,Gout,Chickpeas are moderate in purines.,8/10
1365,70,Fatty Liver,"High sugar, but some fiber and protein.",7/10
1366,70,High Cholesterol,Low cholesterol and saturated fat.,10/10
1367,70,High Blood Pressure,Low sodium.,10/10
1368,70,Gout,"Low purine, safe.",10/10
1369,70,Fatty Liver,"Good veggies, but high in carbs and saturated fat.",7/10
1370,70,High Cholesterol,Butter and eggs add cholesterol.,7/10
1371,70,High Blood Pressure,Soup and baked goods add sodium.,5/10
1372,70,Gout,Eggs are moderate in purines.,7/10
1373,70,Fatty Liver,"Healthy fat, good protein.",9/10
1374,70,High Cholesterol,"No cholesterol, heart healthy.",10/10
1375,70,High Blood Pressure,Very low sodium.,10/10
1376,70,Gout,Peanuts are moderate in purines.,8/10
1377,70,Fatty Liver,"Peanuts and olive oil are healthy, but breaded chicken and dressing add fat.",7/10
1378,70,High Cholesterol,"Chicken, cheese, and dressing add cholesterol and saturated fat.",6/10
1379,70,High Blood Pressure,Dressing and breaded chicken add sodium.,5/10
1380,70,Gout,Chicken and peanuts are moderate in purines.,7/10
1381,71,Fatty Liver,"Good fiber, low fat; cranberries and cantaloupe are beneficial.",9/10
1382,71,High Cholesterol,Low cholesterol and saturated fat.,10/10
1383,71,High Blood Pressure,Low sodium.,10/10
1384,71,Gout,"Low purine, safe.",10/10
1385,71,Fatty Liver,"Good fiber and protein, breading adds fat.",8/10
1386,71,High Cholesterol,Chicken and eggs add cholesterol and saturated fat.,7/10
1387,71,High Blood Pressure,Breaded chicken adds sodium.,7/10
1388,71,Gout,Chicken and chickpeas are moderate in purines.,7/10
1389,71,Fatty Liver,"Healthy fats and fiber, vegetables beneficial.",9/10
1390,71,High Cholesterol,"No cholesterol, heart healthy.",10/10
1391,71,High Blood Pressure,Moderate sodium.,8/10
1392,71,Gout,Peanuts and chickpeas are moderate in purines.,8/10
1393,71,Fatty Liver,"High carbs, moderate fat.",7/10
1394,71,High Cholesterol,Cheese and butter add cholesterol.,7/10
1395,71,High Blood Pressure,Moderate sodium.,8/10
1396,71,Gout,Cheese is moderate in purines.,8/10
1397,71,Fatty Liver,"Plant-based, good fiber.",9/10
1398,71,High Cholesterol,"No cholesterol, healthy fat.",10/10
1399,71,High Blood Pressure,Moderate sodium.,8/10
1400,71,Gout,Chickpeas are moderate in purines.,8/10
1401,72,Fatty Liver,"High sugar, but some fiber and protein.",7/10
1402,72,High Cholesterol,Low cholesterol and saturated fat.,10/10
1403,72,High Blood Pressure,Low sodium.,10/10
1404,72,Gout,"Low purine, safe.",10/10
1405,72,Fatty Liver,"Good veggies, but high in carbs and saturated fat.",7/10
1406,72,High Cholesterol,Butter and eggs add cholesterol.,7/10
1407,72,High Blood Pressure,Soup and baked goods add sodium.,5/10
1408,72,Gout,Eggs are moderate in purines.,7/10
1409,72,Fatty Liver,"Healthy fat, good protein.",9/10
1410,72,High Cholesterol,"No cholesterol, heart healthy.",10/10
1411,72,High Blood Pressure,Very low sodium.,10/10
1412,72,Gout,Peanuts are moderate in purines.,8/10
1413,72,Fatty Liver,"Peanuts and olive oil are healthy, but breaded chicken and dressing add fat.",7/10
1414,72,High Cholesterol,"Chicken, cheese, and dressing add cholesterol and saturated fat.",6/10
1415,72,High Blood Pressure,Dressing and breaded chicken add sodium.,5/10
1416,72,Gout,Chicken and peanuts are moderate in purines.,7/10
1417,73,Fatty Liver,"High fat, cheese, and refined carbs.",5
1418,73,High Cholesterol,Gorgonzola cheese is high in saturated fat.,4
1419,73,High Blood Pressure,High sodium due to cheese.,4
1420,73,Gout,"Cheese is moderate purine, pears are low.",6
1421,73,Fatty Liver,"Moderate animal fat, processed sauce.",6
1422,73,High Cholesterol,Chicken skin may raise cholesterol.,5
1423,73,High Blood Pressure,BBQ sauce adds sodium.,5
1424,73,Gout,Chicken wings are high purine.,4
1425,73,Fatty Liver,"Plant-based fats, moderate carbs.",7
1426,73,High Cholesterol,Low cholesterol meal.,8
1427,73,High Blood Pressure,Some sodium from bread and hummus.,6
1428,73,Gout,"Low purines, suitable.",8
1429,73,Fatty Liver,Fruits and nuts support liver health.,8
1430,73,High Cholesterol,Peanuts are heart-healthy.,8
1431,73,High Blood Pressure,"Minimal sodium, high potassium.",8
1432,73,Gout,Peanuts and fruits are low purine.,8
1433,74,Fatty Liver,"Red meat, high fat, not ideal.",5
1434,74,High Cholesterol,"Beef, sour cream raises cholesterol.",4
1435,74,High Blood Pressure,"Sodium from beans, olives.",5
1436,74,Gout,Beef increases purine load.,4
1437,74,Fatty Liver,"High sugar, no benefit.",4
1438,74,High Cholesterol,No cholesterol.,7
1439,74,High Blood Pressure,Low sodium.,8
1440,74,Gout,No purine risk.,8
1441,74,Fatty Liver,"Plant-based protein, moderate fat.",8
1442,74,High Cholesterol,"Contains egg, otherwise healthy.",8
1443,74,High Blood Pressure,Soy sauce increases sodium.,5
1444,74,Gout,Egg and tofu are moderate purine.,6
1445,74,Fatty Liver,"High sugar, but small portion.",6
1446,74,High Cholesterol,No cholesterol.,8
1447,74,High Blood Pressure,Low sodium.,8
1448,74,Gout,Peanuts and chocolate are low purine.,8
1449,75,Fatty Liver,"Lean protein, greens, moderate fat.",7
1450,75,High Cholesterol,Cheese and dressing may increase cholesterol.,6
1451,75,High Blood Pressure,Wrap and cheese increase sodium.,5
1452,75,Gout,"Chicken is moderate purine, cheese is moderate.",6
1453,75,Fatty Liver,"High sugar and butter, limited benefit.",4
1454,75,High Cholesterol,Butter increases cholesterol.,4
1455,75,High Blood Pressure,Low sodium.,8
1456,75,Gout,Cookies are low purine.,8
1457,75,Fatty Liver,"Plant-based, moderate carbs.",7
1458,75,High Cholesterol,"No cholesterol, good fats.",8
1459,75,High Blood Pressure,Some sodium.,7
1460,75,Gout,Low purine.,8
1461,75,Fatty Liver,"High fiber, healthy fats, supportive.",9
1462,75,High Cholesterol,"Plant-based fats, no cholesterol.",9
1463,75,High Blood Pressure,Low sodium.,9
1464,75,Gout,"Low purine, suitable.",9
1465,76,Fatty Liver,"High fiber, plant-based, good.",8
1466,76,High Cholesterol,"Low cholesterol, healthy.",8
1467,76,High Blood Pressure,Moderate sodium.,7
1468,76,Gout,Chickpeas are low purine.,9
1469,76,Fatty Liver,"Moderate fish, higher sodium, some benefit.",7
1470,76,High Cholesterol,"Some cholesterol, but fish is heart-healthy.",7
1471,76,High Blood Pressure,Very high sodium due to soy sauce.,4
1472,76,Gout,Yellowtail is high purine.,3
1473,77,Fatty Liver,"Egg and bagel, moderate risk.",6
1474,77,High Cholesterol,Egg and chocolate add cholesterol.,5
1475,77,High Blood Pressure,Moderate sodium.,6
1476,77,Gout,Egg is moderate purine.,6
1477,77,Fatty Liver,"Plant-based, anti-inflammatory.",9
1478,77,High Cholesterol,"No cholesterol, heart-friendly.",9
1479,77,High Blood Pressure,"Low sodium, high potassium.",8
1480,77,Gout,Low purine.,9
1481,77,Fatty Liver,"High fiber, low fat, supportive.",9
1482,77,High Cholesterol,"Cottage cheese is low fat, good choice.",8
1483,77,High Blood Pressure,"Low sodium, potassium from veggies.",8
1484,77,Gout,"Low purine, suitable.",9
1485,77,Fatty Liver,"High sugar, saturated fat, not ideal.",3
1486,77,High Cholesterol,Ice cream and Oreos add cholesterol.,3
1487,77,High Blood Pressure,Moderate sodium and sugar.,5
1488,77,Gout,Dairy and chocolate are moderate purine.,5
1489,78,Fatty Liver,"Healthy fats, fiber, plant-based.",8
1490,78,High Cholesterol,Ranch dressing adds saturated fat.,6
1491,78,High Blood Pressure,Sodium from dressing.,6
1492,78,Gout,Peanuts and salad ingredients are low purine.,9
1493,78,Fatty Liver,"Lean protein, healthy fats, but tuna is high purine.",6
1494,78,High Cholesterol,"Tuna is low fat, heart-healthy.",8
1495,78,High Blood Pressure,Low sodium preparation.,8
1496,78,Gout,"Tuna is high purine, not ideal for gout.",3
1497,78,Fatty Liver,"Fruit, low sugar, high vitamin C.",9
1498,78,High Cholesterol,"Cholesterol-free, heart-healthy.",9
1499,78,High Blood Pressure,"Zero sodium, potassium-rich.",9
1500,78,Gout,"Low purine, suitable.",9
1501,79,Fatty Liver,Cheese and pita chips may increase fat intake.,6
1502,79,High Cholesterol,Feta cheese raises cholesterol.,6
1503,79,High Blood Pressure,High sodium from cheese and chips.,5
1504,79,Gout,"Cheese moderate purine, veggies low.",6
1505,79,Fatty Liver,High sugar and saturated fat.,4
1506,79,High Cholesterol,Butter and ice cream increase cholesterol.,4
1507,79,High Blood Pressure,Low sodium.,8
1508,79,Gout,Nuts and dairy are moderate purine.,6
1509,79,Fatty Liver,"High carbs, but low fat and plant-based.",7
1510,79,High Cholesterol,"No cholesterol, heart-friendly.",9
1511,79,High Blood Pressure,Moderate sodium.,7
1512,79,Gout,"Veggie-based, low purine.",9
1513,80,Fatty Liver,"Salmon is supportive, wrap adds carbs.",7
1514,80,High Cholesterol,"Salmon is heart-healthy, but mayo adds fat.",7
1515,80,High Blood Pressure,Sodium from wrap and mayo.,5
1516,80,Gout,Salmon is high purine.,3
1517,80,Fatty Liver,"High sugar, no benefit.",4
1518,80,High Cholesterol,No cholesterol.,7
1519,80,High Blood Pressure,Low sodium.,8
1520,80,Gout,No purine risk.,8
1521,80,Fatty Liver,"High fat, but plant-based and fiber.",7
1522,80,High Cholesterol,Cheese and dressing add cholesterol.,5
1523,80,High Blood Pressure,Moderate sodium.,6
1524,80,Gout,Cheese is moderate purine.,7
1525,81,Fatty Liver,"Nuts, greens, lean protein.",8
1526,81,High Cholesterol,"Low saturated fat, good choice.",8
1527,81,High Blood Pressure,Moderate sodium.,7
1528,81,Gout,Chicken moderate purine.,6
1529,81,Fatty Liver,"Salmon supportive, high protein.",8
1530,81,High Cholesterol,"Salmon heart-healthy, cheese adds cholesterol.",7
1531,81,High Blood Pressure,Moderate sodium.,7
1532,81,Gout,Salmon is high purine.,3
1533,81,Fatty Liver,"Low calorie, but high sugar.",7
1534,81,High Cholesterol,Minimal cholesterol.,9
1535,81,High Blood Pressure,Low sodium.,9
1536,81,Gout,Dairy is low purine.,9
1537,82,Fatty Liver,Cream and butter increase fat.,5
1538,82,High Cholesterol,Saturated fat present.,5
1539,82,High Blood Pressure,Moderate sodium.,6
1540,82,Gout,Soup ingredients low purine.,9
1541,82,Fatty Liver,"Low fat, moderate sugar.",7
1542,82,High Cholesterol,Cholesterol-free.,9
1543,82,High Blood Pressure,Very low sodium.,9
1544,82,Gout,Low purine.,9
1545,82,Fatty Liver,"Plant-based, high fiber.",9
1546,82,High Cholesterol,"No cholesterol, heart-healthy.",9
1547,82,High Blood Pressure,Moderate sodium.,7
1548,82,Gout,"Suitable, low purine.",9
1549,82,Fatty Liver,"Fruit, high fiber, very good.",9
1550,82,High Cholesterol,"Cholesterol-free, heart-healthy.",9
1551,82,High Blood Pressure,Zero sodium.,9
1552,82,Gout,"Low purine, suitable.",9
1553,83,Fatty Liver,Egg and butter increase fat.,6
1554,83,High Cholesterol,Eggs contribute cholesterol.,5
1555,83,High Blood Pressure,Moderate sodium.,6
1556,83,Gout,Egg is moderate purine.,6
1557,83,Fatty Liver,"Fruit, high fiber, very good.",9
1558,83,High Cholesterol,"Cholesterol-free, heart-healthy.",9
1559,83,High Blood Pressure,Zero sodium.,9
1560,83,Gout,"Low purine, suitable.",9
1561,83,Fatty Liver,"Plant and animal protein, moderate fat.",7
1562,83,High Cholesterol,"Egg and peanuts, moderate risk.",7
1563,83,High Blood Pressure,High sodium in sauce.,4
1564,83,Gout,Egg and tofu moderate purine.,6
1565,83,Fatty Liver,"High sugar, saturated fat.",5
1566,83,High Cholesterol,Gelato adds cholesterol.,5
1567,83,High Blood Pressure,Very low sodium.,9
1568,83,Gout,Dairy moderate purine.,7
1569,84,Fatty Liver,"Lean protein, cheese and aioli raise fat.",6
1570,84,High Cholesterol,Cheese adds cholesterol.,6
1571,84,High Blood Pressure,Moderate sodium.,6
1572,84,Gout,Chicken and cheese moderate purine.,6
1573,84,Fatty Liver,"Fresh fruit and yogurt, moderate sugar.",8
1574,84,High Cholesterol,"Low cholesterol, good choice.",9
1575,84,High Blood Pressure,Very low sodium.,9
1576,84,Gout,"Low purine, suitable.",9
1577,84,Fatty Liver,"Plant-based, high fiber.",9
1578,84,High Cholesterol,"No cholesterol, very good.",10
